species,country,name,established,first_record
Ailanthus altissima,AT,Austria,Yes,1796
Ailanthus altissima,BE,Belgium,Yes,1952
Ailanthus altissima,BG,Bulgaria,No,1928
Ailanthus altissima,CY,Cyprus,Yes,1915
Ailanthus altissima,CZ,Czechia,Yes,1874
Ailanthus altissima,DE,Germany,Yes,1900
Ailanthus altissima,DK,Denmark,Yes,1992
Ailanthus altissima,EE,Estonia,No,1975
Ailanthus altissima,ES,Spain,Yes,1818
Ailanthus altissima,FI,Finland,No,NA
Ailanthus altissima,FR,France,Yes,1749
Ailanthus altissima,GB,United Kingdom,No,1935
Ailanthus altissima,GR,Greece,Yes,1910
Ailanthus altissima,HR,Croatia,Yes,2010
Ailanthus altissima,HU,Hungary,Yes,1841
Ailanthus altissima,IE,Ireland,No,2009
Ailanthus altissima,IT,Italy,Yes,1760
Ailanthus altissima,LT,Lithuania,No,NA
Ailanthus altissima,LU,Luxembourg,No,1875
Ailanthus altissima,LV,Latvia,No,2009
Ailanthus altissima,MT,Malta,No,1995
Ailanthus altissima,NL,Netherlands,Yes,1800
Ailanthus altissima,PL,Poland,Yes,1818
Ailanthus altissima,PT,Portugal,Yes,1962
Ailanthus altissima,RO,Romania,Yes,1866
Ailanthus altissima,SE,Sweden,No,1970
Ailanthus altissima,SI,Slovenia,Yes,1850
Ailanthus altissima,SK,Slovakia,Yes,1850
