species,country,name,established,first_record
Myocastor coypus,AT,Austria,Yes,1935
Myocastor coypus,BE,Belgium,Yes,1930
Myocastor coypus,BG,Bulgaria,Yes,1953
Myocastor coypus,CY,Cyprus,No,NA
Myocastor coypus,CZ,Czechia,Yes,1924
Myocastor coypus,DE,Germany,Yes,1880
Myocastor coypus,DK,Denmark,No,1933
Myocastor coypus,EE,Estonia,No,1971
Myocastor coypus,ES,Spain,Yes,1970
Myocastor coypus,FI,Finland,No,1967
Myocastor coypus,FR,France,Yes,1882
Myocastor coypus,GB,United Kingdom,No,1929
Myocastor coypus,GR,Greece,Yes,1965
Myocastor coypus,HR,Croatia,Yes,1936
Myocastor coypus,HU,Hungary,Yes,2017
Myocastor coypus,IE,Ireland,No,2010
Myocastor coypus,IT,Italy,Yes,1928
Myocastor coypus,LT,Lithuania,No,2020
Myocastor coypus,LU,Luxembourg,Yes,1954
Myocastor coypus,LV,Latvia,Yes,2020
Myocastor coypus,MT,Malta,No,NA
Myocastor coypus,NL,Netherlands,No,1930
Myocastor coypus,PL,Poland,Yes,1948
Myocastor coypus,PT,Portugal,No,1967
Myocastor coypus,RO,Romania,Yes,1959
Myocastor coypus,SE,Sweden,No,1967
Myocastor coypus,SI,Slovenia,Yes,1936
Myocastor coypus,SK,Slovakia,Yes,1950
