species,country,name,established,first_record
Heracleum mantegazzianum,AT,Austria,Yes,1991
Heracleum mantegazzianum,BE,Belgium,Yes,1945
Heracleum mantegazzianum,BG,Bulgaria,No,2017
Heracleum mantegazzianum,CY,Cyprus,No,NA
Heracleum mantegazzianum,CZ,Czechia,Yes,1877
Heracleum mantegazzianum,DE,Germany,Yes,1943
Heracleum mantegazzianum,DK,Denmark,Yes,1887
Heracleum mantegazzianum,EE,Estonia,No,1814
Heracleum mantegazzianum,ES,Spain,No,2012
Heracleum mantegazzianum,FI,Finland,Yes,1970
Heracleum mantegazzianum,FR,France,Yes,1930
Heracleum mantegazzianum,GB,United Kingdom,No,1817
Heracleum mantegazzianum,GR,Greece,No,2018
Heracleum mantegazzianum,HR,Croatia,No,2009
Heracleum mantegazzianum,HU,Hungary,Yes,1962
Heracleum mantegazzianum,IE,Ireland,Yes,1866
Heracleum mantegazzianum,IT,Italy,Yes,1905
Heracleum mantegazzianum,LT,Lithuania,No,2020
Heracleum mantegazzianum,LU,Luxembourg,No,1934
Heracleum mantegazzianum,LV,Latvia,Yes,1923
Heracleum mantegazzianum,MT,Malta,No,NA
Heracleum mantegazzianum,NL,Netherlands,Yes,1895
Heracleum mantegazzianum,PL,Poland,Yes,1973
Heracleum mantegazzianum,PT,Portugal,No,2013
Heracleum mantegazzianum,RO,Romania,No,2021
Heracleum mantegazzianum,SE,Sweden,Yes,1894
Heracleum mantegazzianum,SI,Slovenia,No,1980
Heracleum mantegazzianum,SK,Slovakia,Yes,1963
