species,country,name,established,first_record
Heracleum sosnowskyi,AT,Austria,No,NA
Heracleum sosnowskyi,BE,Belgium,No,2017
Heracleum sosnowskyi,BG,Bulgaria,No,2018
Heracleum sosnowskyi,CY,Cyprus,No,NA
Heracleum sosnowskyi,CZ,Czechia,No,2016
Heracleum sosnowskyi,DE,Germany,Yes,1963
Heracleum sosnowskyi,DK,Denmark,No,1993
Heracleum sosnowskyi,EE,Estonia,Yes,1957
Heracleum sosnowskyi,ES,Spain,No,NA
Heracleum sosnowskyi,FI,Finland,No,2013
Heracleum sosnowskyi,FR,France,No,NA
Heracleum sosnowskyi,GB,United Kingdom,No,NA
Heracleum sosnowskyi,GR,Greece,No,NA
Heracleum sosnowskyi,HR,Croatia,No,NA
Heracleum sosnowskyi,HU,Hungary,Yes,2004
Heracleum sosnowskyi,IE,Ireland,No,NA
Heracleum sosnowskyi,IT,Italy,No,2012
Heracleum sosnowskyi,LT,Lithuania,Yes,1987
Heracleum sosnowskyi,LU,Luxembourg,No,NA
Heracleum sosnowskyi,LV,Latvia,Yes,1948
Heracleum sosnowskyi,MT,Malta,No,NA
Heracleum sosnowskyi,NL,Netherlands,No,2020
Heracleum sosnowskyi,PL,Poland,Yes,1980
Heracleum sosnowskyi,PT,Portugal,No,2018
Heracleum sosnowskyi,RO,Romania,No,1975
Heracleum sosnowskyi,SE,Sweden,No,2022
Heracleum sosnowskyi,SI,Slovenia,No,NA
Heracleum sosnowskyi,SK,Slovakia,No,2016
