species,country,name,established,first_record
Impatiens glandulifera,AT,Austria,Yes,1898
Impatiens glandulifera,BE,Belgium,Yes,1891
Impatiens glandulifera,BG,Bulgaria,Yes,1978
Impatiens glandulifera,CY,Cyprus,No,NA
Impatiens glandulifera,CZ,Czechia,Yes,1896
Impatiens glandulifera,DE,Germany,Yes,1909
Impatiens glandulifera,DK,Denmark,Yes,1888
Impatiens glandulifera,EE,Estonia,Yes,1939
Impatiens glandulifera,ES,Spain,Yes,2006
Impatiens glandulifera,FI,Finland,Yes,1947
Impatiens glandulifera,FR,France,Yes,1839
Impatiens glandulifera,GB,United Kingdom,No,1839
Impatiens glandulifera,GR,Greece,No,2019
Impatiens glandulifera,HR,Croatia,Yes,1968
Impatiens glandulifera,HU,Hungary,Yes,1920
Impatiens glandulifera,IE,Ireland,Yes,1906
Impatiens glandulifera,IT,Italy,Yes,1916
Impatiens glandulifera,LT,Lithuania,Yes,1959
Impatiens glandulifera,LU,Luxembourg,No,1897
Impatiens glandulifera,LV,Latvia,Yes,1898
Impatiens glandulifera,MT,Malta,No,NA
Impatiens glandulifera,NL,Netherlands,Yes,1845
Impatiens glandulifera,PL,Poland,Yes,1850
Impatiens glandulifera,PT,Portugal,No,NA
Impatiens glandulifera,RO,Romania,Yes,1882
Impatiens glandulifera,SE,Sweden,Yes,1918
Impatiens glandulifera,SI,Slovenia,Yes,1900
Impatiens glandulifera,SK,Slovakia,Yes,1958
