species,country,name,established,first_record
Ondatra zibethicus,AT,Austria,Yes,1905
Ondatra zibethicus,BE,Belgium,Yes,1928
Ondatra zibethicus,BG,Bulgaria,Yes,1956
Ondatra zibethicus,CY,Cyprus,No,NA
Ondatra zibethicus,CZ,Czechia,Yes,1905
Ondatra zibethicus,DE,Germany,Yes,1914
Ondatra zibethicus,DK,Denmark,No,1989
Ondatra zibethicus,EE,Estonia,Yes,1947
Ondatra zibethicus,ES,Spain,Yes,2004
Ondatra zibethicus,FI,Finland,Yes,1919
Ondatra zibethicus,FR,France,Yes,1928
Ondatra zibethicus,GB,United Kingdom,No,1927
Ondatra zibethicus,GR,Greece,No,NA
Ondatra zibethicus,HR,Croatia,Yes,1932
Ondatra zibethicus,HU,Hungary,Yes,1905
Ondatra zibethicus,IE,Ireland,No,1929
Ondatra zibethicus,IT,Italy,Yes,1993
Ondatra zibethicus,LT,Lithuania,Yes,1954
Ondatra zibethicus,LU,Luxembourg,Yes,1954
Ondatra zibethicus,LV,Latvia,Yes,1961
Ondatra zibethicus,MT,Malta,No,NA
Ondatra zibethicus,NL,Netherlands,Yes,1941
Ondatra zibethicus,PL,Poland,Yes,1920
Ondatra zibethicus,PT,Portugal,No,NA
Ondatra zibethicus,RO,Romania,Yes,1905
Ondatra zibethicus,SE,Sweden,Yes,1950
Ondatra zibethicus,SI,Slovenia,No,1933
Ondatra zibethicus,SK,Slovakia,No,1925
