species,country,name,established,first_record
Nasua nasua,AT,Austria,No,NA
Nasua nasua,BE,Belgium,No,2016
Nasua nasua,BG,Bulgaria,No,NA
Nasua nasua,CY,Cyprus,No,NA
Nasua nasua,CZ,Czechia,No,NA
Nasua nasua,DE,Germany,No,2016
Nasua nasua,DK,Denmark,No,2019
Nasua nasua,EE,Estonia,No,NA
Nasua nasua,ES,Spain,Yes,2003
Nasua nasua,FI,Finland,No,NA
Nasua nasua,FR,France,No,NA
Nasua nasua,GB,United Kingdom,No,2003
Nasua nasua,GR,Greece,No,NA
Nasua nasua,HR,Croatia,No,NA
Nasua nasua,HU,Hungary,No,2024
Nasua nasua,IE,Ireland,No,NA
Nasua nasua,IT,Italy,No,NA
Nasua nasua,LT,Lithuania,No,NA
Nasua nasua,LU,Luxembourg,No,NA
Nasua nasua,LV,Latvia,No,NA
Nasua nasua,MT,Malta,No,NA
Nasua nasua,NL,Netherlands,No,NA
Nasua nasua,PL,Poland,No,NA
Nasua nasua,PT,Portugal,No,NA
Nasua nasua,RO,Romania,No,NA
Nasua nasua,SE,Sweden,No,NA
Nasua nasua,SI,Slovenia,No,NA
Nasua nasua,SK,Slovakia,No,NA
