species,country,name,established,first_record
Procyon lotor,AT,Austria,Yes,1974
Procyon lotor,BE,Belgium,Yes,1986
Procyon lotor,BG,Bulgaria,No,NA
Procyon lotor,CY,Cyprus,No,NA
Procyon lotor,CZ,Czechia,Yes,1925
Procyon lotor,DE,Germany,Yes,1927
Procyon lotor,DK,Denmark,Yes,1978
Procyon lotor,EE,Estonia,No,NA
Procyon lotor,ES,Spain,Yes,1998
Procyon lotor,FI,Finland,No,NA
Procyon lotor,FR,France,Yes,1934
Procyon lotor,GB,United Kingdom,No,1980
Procyon lotor,GR,Greece,No,2014
Procyon lotor,HR,Croatia,Yes,1937
Procyon lotor,HU,Hungary,Yes,1982
Procyon lotor,IE,Ireland,No,2011
Procyon lotor,IT,Italy,Yes,2004
Procyon lotor,LT,Lithuania,No,2011
Procyon lotor,LU,Luxembourg,Yes,1977
Procyon lotor,LV,Latvia,No,NA
Procyon lotor,MT,Malta,No,NA
Procyon lotor,NL,Netherlands,No,1960
Procyon lotor,PL,Poland,Yes,1930
Procyon lotor,PT,Portugal,No,NA
Procyon lotor,RO,Romania,Yes,NA
Procyon lotor,SE,Sweden,No,2010
Procyon lotor,SI,Slovenia,Yes,1990
Procyon lotor,SK,Slovakia,Yes,1993
