species,country,name,established,first_record
Nyctereutes procyonoides,AT,Austria,Yes,1963
Nyctereutes procyonoides,BE,Belgium,No,2010
Nyctereutes procyonoides,BG,Bulgaria,Yes,1968
Nyctereutes procyonoides,CY,Cyprus,No,NA
Nyctereutes procyonoides,CZ,Czechia,Yes,1963
Nyctereutes procyonoides,DE,Germany,No,1961
Nyctereutes procyonoides,DK,Denmark,Yes,1980
Nyctereutes procyonoides,EE,Estonia,Yes,1950
Nyctereutes procyonoides,ES,Spain,No,2008
Nyctereutes procyonoides,FI,Finland,Yes,1935
Nyctereutes procyonoides,FR,France,Yes,1979
Nyctereutes procyonoides,GB,United Kingdom,No,1927
Nyctereutes procyonoides,GR,Greece,Yes,2009
Nyctereutes procyonoides,HR,Croatia,No,1982
Nyctereutes procyonoides,HU,Hungary,Yes,1961
Nyctereutes procyonoides,IE,Ireland,No,NA
Nyctereutes procyonoides,IT,Italy,Yes,1989
Nyctereutes procyonoides,LT,Lithuania,Yes,1948
Nyctereutes procyonoides,LU,Luxembourg,No,2021
Nyctereutes procyonoides,LV,Latvia,Yes,1947
Nyctereutes procyonoides,MT,Malta,No,NA
Nyctereutes procyonoides,NL,Netherlands,No,1981
Nyctereutes procyonoides,PL,Poland,Yes,1955
Nyctereutes procyonoides,PT,Portugal,No,NA
Nyctereutes procyonoides,RO,Romania,Yes,1951
Nyctereutes procyonoides,SE,Sweden,Yes,1945
Nyctereutes procyonoides,SI,Slovenia,Yes,1980
Nyctereutes procyonoides,SK,Slovakia,No,1959
